Dato,Andalucia,Madrid
Total de gasolineras,2210,794
Gasolineras low cost,942,252
Precio minimo gasoleo A,1.08,1.209
Precio maximo gasoleo A,1.659,1.559
Precio medio gasoleo A,1.409830291970803,1.4584960835509138
Precio minimo gasolina 95 E5,1.169,1.337
Precio maximo gasolina 95 E5,1.81,1.679
Precio medio gasolina 95 E5,1.5329303359683795,1.5746858638743455
Precio minimo gasoleo premium,1.259,1.269
Precio maximo gasoleo premium,1.629,1.639
Precio medio gasoleo premium,1.5163253373313343,1.5513470394736841
